,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
958,HIT2nd0798,2013-12-25 12:39:49,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,172.0,58.1,2.0,1.0,2.0,1.0,0.78 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,-0.50,10.17,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
959,HIT2nd0799,2013-12-25 12:40:40,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,167.5,50.8,2.0,0.0,2.0,1.0,1.04 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.3 ,23.3 ,NA,-0.06,5.07,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
960,HIT2nd0800,2013-12-25 12:41:37,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,171.0,61.9,2.0,1.0,2.0,1.0,1.07 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.7 ,24.0 ,NA,0.07,5.10,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
961,HIT2nd0801,2013-12-25 12:42:38,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,171.5,63.1,2.0,1.0,1.0,1.0,1.11 ,1.0 ,0.1 ,22.4 ,27 ,0.01 ,23.3 ,0.6 ,23.4 ,27 ,0.01 ,23.3 ,1.1 ,24.3 ,27 ,0.01 ,23.3 ,NA,NA,NA,23.7 ,24.0 ,NA,0.12,5.31,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
962,HIT2nd0802,2013-12-25 12:43:58,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,21,157.5,43.2,2.0,-1.0,2.0,1.0,1.00 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.07,5.11,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
963,HIT2nd0803,2013-12-25 12:44:51,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,167.5,57.2,2.0,0.0,2.0,1.0,1.07 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.16,5.57,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
964,HIT2nd0804,2013-12-25 12:45:38,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,177.0,76.4,2.0,0.0,1.0,1.0,0.93 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,-0.03,5.02,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
965,HIT2nd0805,2013-12-25 12:46:28,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,162.5,51.1,2.0,0.0,2.0,1.0,1.12 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.23,6.08,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
966,HIT2nd0806,2013-12-25 12:47:41,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,170.0,78.8,2.0,-1.0,1.0,1.0,0.94 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,-0.01,5.00,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
967,HIT2nd0807,2013-12-25 12:56:55,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,18,171.0,56.7,2.0,0.0,2.0,1.0,1.01 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.09,5.16,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
968,HIT2nd0808,2013-12-25 12:57:40,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,157.5,49.2,2.0,2.0,2.0,1.0,1.07 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.16,5.57,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
969,HIT2nd0809,2013-12-25 12:59:34,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,51.6,20.0,-1.0,2.0,1.0,1.11 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.22,5.97,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
970,HIT2nd0810,2013-12-25 13:00:35,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,153.5,44.3,2.0,1.0,1.0,1.0,1.00 ,1.0 ,0.1 ,23.3 ,28 ,0.01 ,24.0 ,0.6 ,24.1 ,28 ,0.01 ,24.0 ,1.1 ,24.5 ,28 ,0.01 ,24.0 ,NA,NA,NA,24.0 ,24.0 ,NA,0.07,5.11,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
971,HIT2nd0811,2013-12-25 13:02:22,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.0,54.8,2.0,-1.0,2.0,1.0,0.90 ,1.0 ,0.1 ,22.0 ,27 ,0.05 ,23.8 ,0.6 ,23.5 ,27 ,0.05 ,23.8 ,1.1 ,24.4 ,27 ,0.05 ,23.8 ,NA,NA,NA,23.7 ,24.0 ,NA,-0.19,5.73,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
972,HIT2nd0812,2013-12-25 13:04:26,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,19,169.5,54.5,2.0,2.0,1.0,1.0,0.85 ,1.0 ,0.1 ,22.0 ,27 ,0.05 ,23.8 ,0.6 ,23.5 ,27 ,0.05 ,23.8 ,1.1 ,24.4 ,27 ,0.05 ,23.8 ,NA,NA,NA,23.7 ,24.0 ,NA,-0.27,6.54,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
973,HIT2nd0813,2013-12-25 13:05:46,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,154.5,51.6,2.0,0.0,1.0,1.0,1.36 ,1.0 ,0.1 ,22.0 ,27 ,0.05 ,23.8 ,0.6 ,23.5 ,27 ,0.05 ,23.8 ,1.1 ,24.4 ,27 ,0.05 ,23.8 ,NA,NA,NA,23.9 ,24.5 ,NA,0.45,9.25,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
974,HIT2nd0814,2013-12-25 13:07:06,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,164.5,45.6,2.0,0.0,1.0,1.0,1.31 ,1.0 ,0.1 ,22.0 ,27 ,0.05 ,23.8 ,0.6 ,23.5 ,27 ,0.05 ,23.8 ,1.1 ,24.4 ,27 ,0.05 ,23.8 ,NA,NA,NA,23.9 ,24.5 ,NA,0.40,8.35,NA,-15.5,-14.1,-13.9,-16.7,NA,NA,
975,HIT2nd0815,2013-12-31 13:12:30,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,175.0,86.3,2.0,2.0,2.0,1.0,1.32 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.65,13.81,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
976,HIT2nd0816,2013-12-31 13:13:48,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,47.0,2.0,1.0,1.0,1.0,1.22 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.55,11.31,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
977,HIT2nd0817,2013-12-31 13:18:40,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,21,157.5,43.2,2.0,0.0,2.0,1.0,1.28 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.61,12.79,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
978,HIT2nd0818,2013-12-31 13:19:43,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,164.5,50.6,2.0,1.0,1.0,1.0,0.87 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.11,5.24,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
979,HIT2nd0819,2013-12-31 13:24:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,165.5,49.8,2.0,0.0,1.0,1.0,1.22 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.55,11.31,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
980,HIT2nd0820,2013-12-31 13:25:27,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,167.5,50.8,2.0,0.0,2.0,1.0,0.87 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.11,5.24,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
981,HIT2nd0821,2013-12-31 13:26:30,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,178.0,58.5,2.0,1.0,2.0,1.0,1.01 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.6 ,24.5 ,NA,0.30,6.92,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
982,HIT2nd0822,2013-12-31 13:27:30,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,171.0,61.9,2.0,2.0,2.0,1.0,1.37 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.3 ,24.0 ,NA,0.64,13.56,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
983,HIT2nd0823,2013-12-31 13:35:12,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,171.5,63.1,2.0,1.0,1.0,1.0,1.17 ,1.0 ,0.1 ,23.7 ,35 ,0.02 ,24.5 ,0.6 ,24.9 ,35 ,0.02 ,24.5 ,1.1 ,25.2 ,35 ,0.02 ,24.5 ,NA,NA,NA,24.3 ,24.0 ,NA,0.43,8.96,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
984,HIT2nd0824,2013-12-31 13:38:03,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,185.0,79.7,20.0,1.0,1.0,1.0,1.35 ,1.0 ,0.1 ,22.9 ,29 ,0.06 ,24.0 ,0.6 ,24.4 ,29 ,0.06 ,24.0 ,1.1 ,25.0 ,29 ,0.06 ,24.0 ,NA,NA,NA,24.1 ,24.0 ,NA,0.51,10.45,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
985,HIT2nd0825,2013-12-31 13:39:03,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,162.5,51.1,2.0,2.0,2.0,1.0,1.37 ,1.0 ,0.1 ,22.9 ,29 ,0.06 ,24.0 ,0.6 ,24.4 ,29 ,0.06 ,24.0 ,1.1 ,25.0 ,29 ,0.06 ,24.0 ,NA,NA,NA,24.1 ,24.0 ,NA,0.53,10.87,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
986,HIT2nd0826,2013-12-31 13:43:55,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,170.0,78.8,2.0,0.0,1.0,1.0,1.09 ,1.0 ,0.1 ,22.9 ,29 ,0.06 ,24.0 ,0.6 ,24.4 ,29 ,0.06 ,24.0 ,1.1 ,25.0 ,29 ,0.06 ,24.0 ,NA,NA,NA,24.1 ,24.0 ,NA,0.22,6.04,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
987,HIT2nd0827,2013-12-31 13:44:35,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,51.6,20.0,1.0,1.0,1.0,1.14 ,1.0 ,0.1 ,22.9 ,29 ,0.06 ,24.0 ,0.6 ,24.4 ,29 ,0.06 ,24.0 ,1.1 ,25.0 ,29 ,0.06 ,24.0 ,NA,NA,NA,24.1 ,24.0 ,NA,0.28,6.69,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
988,HIT2nd0828,2013-12-31 13:45:26,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,153.5,44.3,2.0,1.0,1.0,1.0,1.27 ,1.0 ,0.1 ,22.9 ,29 ,0.06 ,24.0 ,0.6 ,24.4 ,29 ,0.06 ,24.0 ,1.1 ,25.0 ,29 ,0.06 ,24.0 ,NA,NA,NA,24.6 ,25.0 ,NA,0.54,11.10,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
989,HIT2nd0829,2013-12-31 13:46:20,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,167.5,57.2,2.0,0.0,2.0,1.0,1.27 ,1.0 ,0.1 ,22.9 ,29 ,0.06 ,24.0 ,0.6 ,24.4 ,29 ,0.06 ,24.0 ,1.1 ,25.0 ,29 ,0.06 ,24.0 ,NA,NA,NA,24.6 ,25.0 ,NA,0.54,11.10,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
990,HIT2nd0830,2013-12-31 13:49:17,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,164.5,45.6,2.0,1.0,1.0,1.0,1.36 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.4 ,25.0 ,NA,0.56,11.69,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
991,HIT2nd0831,2013-12-31 13:50:11,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,182.5,61.2,2.0,2.0,1.0,1.0,1.86 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.4 ,25.0 ,NA,0.94,23.66,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
992,HIT2nd0832,2013-12-31 13:51:02,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,171.5,57.4,3.0,0.0,1.0,1.0,1.12 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.4 ,25.0 ,NA,0.31,7.05,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
993,HIT2nd0833,2013-12-31 13:51:47,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.0,54.8,2.0,1.0,2.0,1.0,1.37 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.4 ,25.0 ,NA,0.57,11.91,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
994,HIT2nd0834,2013-12-31 13:52:30,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,19,169.5,54.5,2.0,1.0,1.0,1.0,0.87 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.4 ,25.0 ,NA,-0.03,5.02,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
995,HIT2nd0835,2013-12-31 13:53:24,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,154.5,51.6,2.0,1.0,1.0,1.0,1.06 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.5 ,25.2 ,NA,0.27,6.47,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
996,HIT2nd0836,2013-12-31 13:54:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,168.5,55.4,20.0,1.0,1.0,1.0,1.16 ,1.0 ,0.1 ,22.6 ,28 ,0.01 ,24.8 ,0.6 ,23.9 ,28 ,0.01 ,24.8 ,1.1 ,24.7 ,28 ,0.01 ,24.8 ,NA,NA,NA,24.5 ,25.2 ,NA,0.38,8.10,NA,-7.9,-14.1,-12.4,-15.4,NA,NA,
997,HIT2nd0837,2014-01-02 14:04:59,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,186.5,69.8,2.0,0.0,2.0,1.0,1.12 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.47,9.59,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
998,HIT2nd0838,2014-01-02 14:10:48,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,185.0,79.7,20.0,-1.0,2.0,1.0,1.16 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.51,10.49,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
999,HIT2nd0839,2014-01-02 14:11:34,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,21,162.5,72.9,21.0,0.0,2.0,1.0,1.19 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.54,11.20,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1000,HIT2nd0840,2014-01-02 14:12:31,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,159.5,47.0,2.0,0.0,1.0,1.0,1.32 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.67,14.44,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1001,HIT2nd0841,2014-01-02 14:13:15,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,19,171.0,61.9,2.0,1.0,2.0,1.0,1.37 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.71,15.74,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1002,HIT2nd0842,2014-01-02 14:13:59,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,20,178.0,58.5,2.0,0.0,1.0,1.0,1.01 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.34,7.41,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1003,HIT2nd0843,2014-01-02 14:14:57,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,22,164.5,50.6,2.0,1.0,2.0,1.0,0.87 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.15,5.46,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1004,HIT2nd0844,2014-01-02 14:16:05,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Male,21,171.5,63.1,2.0,1.0,1.0,1.0,1.16 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.51,10.49,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1005,HIT2nd0845,2014-01-02 14:17:31,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,165.5,49.8,2.0,0.0,1.0,1.0,1.32 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.67,14.44,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
1006,HIT2nd0846,2014-01-02 14:18:26,Harbin Institute of Technology ,Winter Season,"Heilongjiang Province, Harbin City",Sever cold zone,Educational,Classroom,9,Radiator heating,NA,NA,Female,20,167.5,50.8,2.0,0.0,1.0,1.0,0.90 ,1.0 ,0.1 ,23.5 ,29 ,0.01 ,25.1 ,0.6 ,25.0 ,29 ,0.01 ,25.1 ,1.1 ,25.1 ,29 ,0.01 ,25.1 ,NA,NA,NA,24.9 ,25.2 ,NA,0.19,5.77,NA,-17.1,-18.3,-11.2,-14.2,NA,NA,
